Schlüssel;Zusammenfassung;Ursprüngliche Schätzung;Verbleibende Schätzung;Benötigte Zeit;Priorität;Beschreibung
MDK-11085;[Auftragsverwaltung QP] 500er Fehler erscheint beim Öffnen der Auftragsverwaltung QP;14400;0;1800;High;"Wenn die Auftragsübersicht geöffnet wird, dann erscheint ein 500er. Hier scheint es ein Mapping-Problem im Back-End zu geben (siehe Bilder). 

!image-2020-04-22-08-31-18-474.png! 

!image-2020-04-22-08-35-21-716.png!"
MDK-11073;[QP HKP SGB V] Erstellung Prüfbericht nicht möglich;14400;0;10800;High;"""Prüfbericht erstellen""-Button ist ausgegraut"
MDK-11062;QPS - Prüfbpogen B - Aggregation in 2.5;14400;0;10800;High;"* Es existieren 2 Prüfbogen B. Diese sind in den Abschnitten ""2.5 Unterstützung bei der Bewältigung von sonstigen therapiebedingten Anforderungen - Fachliche Bewertung"" befüllt 
* Beide Bögen sind freigegeben. 
* Im Prüfbogen B werden die Inhalte der Abschnitte nicht eingespielt. Der Abschnitt ist leer. 

 "
MDK-11059;"QPS Button ""In neuem Fenster"" im prüfbogen";14400;0;37800;High;"Der Button ""In neuem Fenster"" funktioniert in den Prüfbogen A, B. nicht. Nach dessen Betätigung passiert nichts, der Bogen wird nicht in einem separaten Fenster angezeigt "
MDK-11053;[Stammdaten - MDK & Mitarbeiter] Wenn ich einem Mitarbeiter eine bereits vorhandene Personalnummer gebe erscheint ein 500er Fehler;14400;0;20700;High;"Soll: Wenn ich eine bereits existierende Personalnummer für einen Mitarbeiter vergebe, dann soll diese nicht übernommen werden. Ideal wäre noch ein Hinweis. 

Ist: Wenn ich eine bereits existierende Personalnummer für einen Mitarbeiter vergebe, dann soll diese nicht übernommen werden (funktioniert korrekt). Allerdings erscheint 500er Fehler. 

!image-2020-04-20-14-54-21-001.png! 

 "
MDK-11052;CLONE - DMS Fehler alle 20 Sekunden;14400;0;9000;High;Ich habe das Update auf die neue Version (0.50) gemacht, mir einen Auftrag angelegt und seit dem kommt diese Fehlermeldung, auch heute wieder - alle 20 Sekunden.
MDK-11047;Anbindung an HyperDoc Connection Manager ist nicht stabil;14400;0;9000;High;"Schlägt ein Synchronize-Aufruf an den HyperDoc Connection Manager fehl, weil die Initialisierung noch nicht ausgeführt wurde, schlagen nachfolgenden Aufrufe ebenfalls fehl. 

Dies auch wenn die Initialisierung mittlerweile durchgeführt wurde, also de Fehler im HyperDoc Connection Manager behoben wurde. Die Vermutung ist, dass hier die COM-Schnittstelle bzw. Subprozesse neu initialisiert werden müssen."
MDK-11041;QPs-Prüfbericht erstellen nicht möglich;14400;0;7200;High;"Der Button für ""Prüfbericht erstellen"" ist nach Freigabe der Bögen immer noch inaktiv 
* Benutzer: Hannibal Hinz"
MDK-11015;QPs -Stichprobenziehung ohne Ergebniserfassung-Überprüfung Gesamtstichprobe;14400;0;3600;High;"SOLL: 
-Zeile Summe als Überschrift und nicht ausfüllbar 
-Zeile Soll mit dem Wert 9 vorbelegen und nicht änderbar 
-Zeile Ist wird berechnet aus der Summe aus Ist Gesamt-Ist aus den 
Subgruppen A/B/C und Gesamt-Ist Teilstichprobe Prüfteam 
-Differenz Soll/Ist wird von der Tabelle Teilstichprobe Prüfteam übernommen"
MDK-11009;Inhalt des MDK-Tabs verschwindet, wenn zweimal auf den MDK-Tab-Button geklickt wird;14400;0;3600;High;"Getestet mit greta_wagner und michael_meier mit dem aktuellen Stand vom master (0.51.0). 

Wird unter ""MDK & Mitarbeiter"" auf dem Button ""MDK"" geklickt, wenn der MDK-Tab schon aktiv ist, verschwindet der komplette Content von dem Tab, das Element ""mdk-ui-mdk-detail"" verschwindet aus dem DOM. 

Der Content erscheint wieder, wenn neu auf den MDK-Tab navigiert wird."
MDK-11008;QPs -Stichprobenziehung ohne Ergebniserfassung-Teilstichprobe Prüfteam Zufallszahl;14400;0;7200;High;"Soll: Die Zufallszahl in der Tabelle/Abschnitt Teilstichprobe Prüfteam soll aus Tabelle 1 (Teilstichprobe – 6 Personen) übernommen werden. Die Zufallszahlen in beiden Tabellen müssen gleich sein 

Ist: Die Zufallszahl muss man neu generieren. Hier können beide Tabellen  unterschiedliche Zufallszahlen haben"
MDK-11003;HKP / Produktergebnis / Navigationsleiste leitet immer auf erste Person;14400;0;97500;High;"h2. Aufgabe 
* Klärung, wann Fehler auftritt 
* Fehler festgestellt von [~vossel] 

h2. Fehlerbeschreibung 

HKP / Produktergebnis / Navigationsleiste zweiter Abschnitt leitet immer auf die erste einbezogene Person, auch wenn in der Navigation die zweite gewählt wird. 

Softwarestand: mdk-client-0.51.0-snapshot-x64 

getestet auf Systemtest 

Bereitstellung eines Screenshots durch aktuelle Nicht-Verfügbarkeit momentan nicht möglich. 

 "
MDK-10984;QPs -Stichprobenziehung ohne Ergebniserfassung-Aktivierung der Zeile Begründung;14400;0;32400;High;"Soll: Die Zeile Begründung mit den Optionen ""nicht erreichbar"" und ""abgelehnt"" soll nur aktiv sein wenn ""Nein"" ausgewählt wurde 

Ist: Begründung mit den Optionen ""nicht erreichbar"" und ""abgelehnt"" ist immer aktiv"
MDK-10981;WennDann Block wird ignoriert.;14400;0;41400;High;"Im Prüfbogen A von QPs wird ein WennDann Block ignoriert.  

Die Struktur dabei ist folgende 

ueberschrift ... 
   wiederholbarerFragenkoerper... 
      frageBereich... 
         pflichteingabe  
         wenn {  
         } dann {  
         } 

Ein Screenshot der Stelle ist angehängt."
MDK-10966;[QP HKP - Produktbasis] Der Hauptgutachter kann trotz Berechtigung die Freigabe bei Produktbasen nicht zurücknehmen;14400;0;37800;High;"Vorgehen: 
* Anlegen eines Prüfauftrags für HKP 
* Anlegen und Freigeben eines Produktbasis (z.B. Einrichtung) 

Erwarteter Zustand: 

Der Hauptgutachter (z.B. hannibal_hinz) kann die Freigabe des Prüfauftrags zurücknehmen. 

Ist: 

Der Nutzer hannibal_hinz hat keinen Button um die Freigabe der Produktbasis zurückzunehmen: 

!image-2020-04-14-09-23-41-432.png! 

Über die Zuständigkeit ist ihm das Recht P-R-6 zugeordnet, siehe folgende Jsons: 

!image-2020-04-14-09-25-28-390.png! 

!image-2020-04-14-09-24-41-772.png!   

 "
MDK-10960;Test QPs Prüfbogen B - Pflichtfeldprüfung - 6.2;14400;0;3600;High;"SOLL: 

  

Werden die Prüffragen unter  

6.2 Begleitung sterbender Personen und ihrer Angehörigen - Prüffragen 

mit Nein markiert, dann soll das Feld Feststellung ein pflichtfeld sein"
MDK-10959;QPS - Prüfbogen B - Abschnitt wird nicht ausgeblendet - 6;14400;0;18000;High;"SOLL: 
h5. Abschnitt 6.1 Qualifikation der und Aufgabenwahrnehmung durch die verantwortliche Pflegefachkraft - Prüffragen UND  6.2 Begleitung sterbender Personen und ihrer Angehörigen - Prüffragen UND 6.3 Maßnahmen zur Vermeidung und zur Behebung von Qualitätsdefiziten - Prüffragen 

Werden im alle Prüffragen mit Ja markiert, dann soll der Abschnitt  
h5. Erläuterungen zu den nicht erfüllten Anforderungen: 

ausgeblendet werden. 

Das ist aktuell nicht der Fall"
MDK-10957;QPS - Prüfbogen B -Pflichtfelder - Abschnitt 6;14400;0;3600;High;"IST: 
* Wird im Abschnitt 6.1 Qualifikation der und Aufgabenwahrnehmung durch die verantwortliche Pflegefachkraft - Prüffragen und 6.2 Begleitung sterbender Personen und ihrer Angehörigen - Prüffragen  und  6.3 Maßnahmen zur Vermeidung und zur Behebung von Qualitätsdefiziten - Prüffragen 
bei allen Fragen die CB mit nein markiert, dann ist das Feld Empfehlung/Maßname kein Pflichtfeld 

SOLL: Das Feld soll bei CB ein Pflichtfeld sein 

  

 "
MDK-10956;QPS - Prüfbogen B - Pflichtfelder - S.5;14400;0;3600;High;"IST: 
* Abschnitt 5.3 Einhaltung von Hygieneanforderungen und 5.4 Hilfsmittelversorgung 
* im Drop Down Menü wurde Defizite festgestellt ausgewählt 
* Die Felder Feststellung und  Empfehlung/Maßnahme sind keine Pflichtfelder 

Soll: 
* Die Felder Feststellung und  Empfehlung/Maßnahme sollen Pflichtfelder sein"
MDK-10955;QPS - Prüfbogen B - Pflichtfelder;14400;0;3600;High;"IST: 
* Abschnitt , 5.1 Abwehr von Risiken und Gefährdungen und 5.2 Biografieorientierte Unterstützung 
* Das Feld Erläuterung ist ein Pflichtfeld 

SOLL: Das Feld soll ein Wahlfeld sein 

  

 "
MDK-10953;QPS- Teamgesprächsbogen-Anmerkungen fehlt;14400;0;10800;High;"In Kapitel 2 Bereich Anmerkungen(Freitext) nach jedem Abschnitt fehlt  

 "
MDK-10951;QPS - Teamgesprächsbogen- Besonderheit Frage 2.5;14400;0;40500;High;"Soll:  Kapitel 2 Besonderheit Frage 2.5 
Frage 2.5 Unterstützung bei der Bewältigung von sonstigen therapiebedingten Anforderungen  
Qualitätsaspekte :  
Auffälligkeiten, die für die Beratung der Pflegeeinrichtung relevant sind 
Defizite, die für die Beratung relevant sind und für den Maßnahmenbescheid der Pflegekasse relevant sein könnten 

  

IST: Qualitästaspekte wurden analog zu Fragen 1.1-4.4 durchgeführt"
MDK-10940;QPS - Prüfbogen B - Eingabe mehrerer Namen nicht möglich;14400;0;1800;High;"Ist: In Abschnitt D, 7.An der Prüfung Beteiligte, kann pro Checkbox nur ein Name eingegeben werden 

Soll: Es soll die Möglichkeit bestehen, mehrere Namen eingeben zu können."
MDK-10929;wdQPS-Prüfbogen A - fehlende Pflichtfeldvalidierung;14400;0;1800;High;"IST: 
* 4.4 Freiheitsentzeihende Maßnahmen - Informationserfassung 
* Die Checkbox ""aktuell werden keine freiheitsentziehenden Maßnahmen....."" ist nicht markiert 
* die Felder ""Einsatzdauer und Art der...."" und ""Einwilligung oder Vorliegen...."" sind keine Pflichtfelder 

Soll: 
* Die Felder sollen Pflichtfelder sein 

 "
MDK-10925;QPS-Prüfbogen A - Abschnitt ist nicht deaktiviert;14400;0;3600;High;"IST: 
* In Abschnitt ""4.4 Freiheitsentziehende Maßnahmen - Informationserfassung"" wird die CB ""Aktuell werden keine....."" markiert 
* 
 Abschnitt ""4.4 Freiheitsentziehende Maßnahmen - Fachliche Bewertung"" A-D ist nicht ausgeblendet und befüllbar 
  
SOLL: Abschnitt ""4.4 Freiheitsentziehende Maßnahmen - Fachliche Bewertung"" A-D soll ausgeblendet und nicht befüllbar "
MDK-10919;QPS - Prüfbogen A - Abschnitt nicht deaktiviert;14400;0;3600;High;"IST: 
* Im Abschnitt 3.3 Nächtliche Versorgung - Informationserfassung ist die Checkbox ""kein nächtlicher ...."" markiert 
* 
h5. Abschnitt 3.3 Nächtliche Versorgung - Fachliche Bewertung A-D ist befüllbar 
h5.   
  

Soll:  Abschnitt 3.3 Nächtliche Versorgung - Fachliche Bewertung A-D soll ausgeblendet und nicht befüllbar sein 

  
  
 "
MDK-10918;QPS-Prüfbogen A - Feld Bemerkung;14400;0;1800;High;"IST:  
* Prüfbogen A, 3.2 Unterstützung bei der Tagesstrukturierung, Beschäftigung und Kommunikation - Informationserfassung 
* Das Feld Bemerkung (Achtung, gemeint ist das letzte Feld im Abschnitt) ist als Pflichtfeld markiert 

Soll: Das Feld soll ein Wahlfeld sein   
 "
MDK-10917;QPS-Prüfbogen A - Checkbox kein Bedarf an....;14400;0;1800;High;"IST: 
* 3.2 Unterstützung bei der Tagesstrukturierung, Beschäftigung und Kommunikation - Informationserfassung 
* Checkbox "" kein bedarf an..."" ist markiert 
* Feld Bemerkung ist gesperrt 
* Abschnitt ""3.2 Unterstützung bei der Tagesstrukturierung, Beschäftigung und Kommunikation - Fachliche Bewertung"" A-D ist befüllbar 

Soll: 
* Das Feld Bemerkung soll ein Pflichtfeld und befüllbar sein. 
* Abschnitt ""3.2 Unterstützung bei der Tagesstrukturierung, Beschäftigung und Kommunikation - Fachliche Bewertung"" A-D soll ausgeblendet und nicht befüllbar sein  

  

IST: 
* Die Checkbox ""Kein Bedarf an..."" ist nicht markiert 
* Beim Feld ""kognitive Fähigkeiten und....."" erscheint keine Pflichtfeldvalidierung 

SOLL: 
* Es soll eine Pflichtfeldvalidierung erscheinen 

  
  
 "
MDK-10914;QPS-Prüfbogen A - Abschnitte A-D sollen nicht bearbeitbar sein;14400;0;3600;High;"IST: 
* Prüfbogen A, 3.1 Unterstützung bei Beeinträchtigungen der Sinneswahrnehmung - Informationserfassung 
* 
In dem Abschnitt sind die Checkboxen ""Nicht eingeschränkt"" bei Sehvermögen und Hörvermögen markiert 
* 
Abschnitt 3.1 Unterstützung bei Beeinträchtigungen der Sinneswahrnehmung - Fachliche Bewertung, A-D sind bearbeitbar 
  
  

  

SOLL: 

Sind die beiden Checkboxen markiert, soll Abschnitt 3.1 Unterstützung bei Beeinträchtigungen der Sinneswahrnehmung - Fachliche Bewertung, A-D nicht bearbeitbar sein"
MDK-10912;QPS - Prüfbogen A - Feld d Lokalisation;14400;0;7200;High;"h5. IST: 
h5. Prüfbogen A, S2., 2.3 Wundversorgung - Informationserfassung 

Wird in Feld d Nummer lt. Legende eine Wert ausgewählt und anschließend entfernt (mit Taste ""entfg), erscheint keine Validierungsmeldung 
  
SOLL: da es sich um ein Pflichtfeld handelt, soll eine Validierungsmeldung erscheinen 
  
IST: 
Das Feld Beschreibung sonstige Lokalisation ist immer ein Pflichtfeld. 
  
SOLL: Vermutlich soll es nur ein Pflichtfeld sein, wenn in Feld  Nummer laut Legende 16 ausgewählt wurde? 
Umsetzung ist abweichend vom Konzept 

  

IST: 

Die Checkboxen ""links"" ""Rechts"" sind Pflichtfelder 

Soll: es sollen keine Pflichtfelder sein 
  
 "
MDK-10872;[QP HKP SGB V] Person: Eintrag in Hilfstabelle 8.2 in 12 Dekubitusbehandlung führt nicht zur Aktivierung 9.;14400;0;43200;High;"getestet auf mdk-client-0.50.10-final-x64; system-test 

9.26 wird t.n.z. nicht gesetzt, aber Abschnitt auch nicht aktiv 

lässt sich umgehen mit einmal t.n.z. setzen und wieder entfernen 

+*Nachtrag:*+ 
Folgende Fehler wurden festgestellt: 

     1) 
* *IST:* Diverse Unterkapitel in Kapitel 9 und 10 sind standardmäßig mit t.n.z vorbelegt, auch wenn Kapitel 9 und 10 deaktiviert sind. 
* *SOLL:* Unterkapitel in Kapitel 9 und 10 sind nur mit t.n.z vorzubelegen, wenn Kapitel 9 und 10 auch aktiv sind. 

  

     2) 
* *IST:* Wenn Kapitel 9 aktiv ist und in 8.2 Zeile 12 ""Dekubitusbehandlung [...]"" ein Eintrag vorgenommen wird, wird t.n.z in 9.26 entfernt, die Unterfragen in 9.26 bleiben aber disabled. 
* *SOLL:* Wenn Kapitel 9 aktiv ist und in 8.2 Zeile 12 ""Dekubitusbehandlung [...]"" ein Eintrag vorgenommen wird, wird t.n.z in 9.26 entfernt und die Unterfragen in 9.26 sollen enabled werden. 

  

  

 "
MDK-10870;HKP: Erhebungsbogen erstellen - Abbruch im Modaldialog springt in falschen Reiter;14400;0;16200;High;"Vorgehen: 
* Ein Gutachter wählt ""Neuen EHB erstellen"" im Reiter ""Produkte"" des Auftrags. 
* Der Modaldialog öffnet sich. 
* Der Gutachter wählt ""Abbrechen"" 

Erwartet: Es wird wieder der Reiter ""Produkte"" des Auftrages angezeigt. 

Tatsächlich: Es wird die Seite ""Auftragsdetails"" des Auftrags angezeigt. 

 "
MDK-10867;HKP: Inadäquate Fehlermeldungen bei Scheitern Freigabe Prüfbericht;14400;0;51000;High;"Ursache war wohl der Umstand, dass der Auftrag im Status ""Terminiert"" stand. Hier wäre eine ""sprechende"" Fehlermeldung die bessere Antwort der Software als der 400er-Fehler"
MDK-10866;[Auftragsverwaltung QP - Zeiterfassung] Änderungsfeld wird nicht geleert;14400;0;24000;High;"Vorgehen: 
* Anlegen eines Prüfauftrags für QP HKP 
* Verplanen des Prüfauftrages (Hannibal Hinz, Kordula Kunz) 
* Öffnen der Zeiterfassung mit hannibal_hinz 
* Eingabe eines Wertes in Feld Änderungsfeld 
* Betätigen von Minus/Plus Taste 

Erwartetes Verhalten: 

Gemäß Story https://mdk-jira.test-server.ag/browse/MDK-396 soll der Wert in Änderungsfeld vom linken Feld abgezogen und anschließend das Änderungsfeld geleert werden. 

Ist: 

Der Wert in Änderungsfeld wird vom linken Feld abgezogen. Allerdings bleibt der Wert im Änderungsfeld erhalten. 

 "
MDK-10864;[Auftragsverwaltung QP - Zeiterfassung] Bennenung der Zeiten bei den Produkttypen passen nicht;14400;0;14400;High;"Vorgehen: 
* Anlegen eines Prüfauftrags für QP HKP 
* Verplanen des Prüfauftrages (Hannibal Hinz, Kordula Kunz) 
* Öffnen der Zeiterfassung mit hannibal_hinz 

Erwartetes Ergebnis:  

Für den Produkttyp QP HKP sind die Zeiten gemäß Story  https://mdk-jira.test-server.ag/browse/MDK-2589 folgendermaßen benannt:  
* Bearbeitungszeit inkl. Vor-/Nachbereitung 
* Erfassung und Organisation 
* Fahrzeit 
* Prüfungszeit vor Ort 

Ist:  

Die Bezeichnung für die Zeiterfassung lauten stattdessen: 

Anreise, Durchführung der Prüfung und Prüfungsvorbereitung 

!image-2020-04-07-14-03-33-073.png!"
MDK-10839;Stammdaten Nutzer: NPE in der Ressourcenverwaltung wenn Nutzer keinen Mitarbeiter hat;14400;0;5400;High;Michael Mier kann nutzer seiner eigenen OE nicht anzeigen, da dafür ein Mitarbeiter notwendig ist
MDK-10824;UeberschriftRef im Iteration-Keyword verursacht Konflikte bei Imports;14400;0;118800;High;"Im QPS-Produktergebnis muss man zwei mal eine ""UeberschriftRef""  zweimal der gleichen Produktbasis verwenden. Einmal als einfache ""UeberschriftRef"" und ein zweites Mal in einem Iteration-Keyword. Bei Kapiteln, die bereits geladen sind führt der UeberschriftRef im Iteration-Keyword zur Fehlermeldung *Allready Exists Problem. Dabei wird die Klasse der Überschrift zweimal, also doppelt erstellt."
MDK-10823;Supervision abschließen führt sporadisch zu 412 Fehler;28800;0;57600;High;Bei dem abschließen der Supervision kommt es derzeit öfter mal zu einem Http 412 Fehler. Der Fehler tritt nur sporadisch auf und kann derzeit nicht auf eine geeignete Art und Weise reproduziert werden.
MDK-10809;Fix e2e-Tests;;0;67800;High;
MDK-10799;Bogenwechsel zwischen den selben Bogentypen reinitialisiert Produktbögen nicht korrekt;14400;0;13500;High;Wechselt man zwischen Personenbögen über die Hauptnavigation initialisiert sich die basiscomponent nicht korrekt
MDK-10777;[QPHkp] Prüfbericht (Produktergebnis) - Kapitel 11 Abrechnung wird nicht angezeigt;21600;0;21600;High;"IST: 

Prüfbericht (Produktergebnis) - Kapitel 11 Abrechnung wird nicht angezeigt 

SOLL: 

Prüfbericht (Produktergebnis) - Kapitel 11 Abrechnung wird entsprechend der Eingaben im EHB Abrechnung angezeigt."
MDK-10771;Fehlende Pflichtfeld-Sterne bei leerem Label;14400;0;53100;High;"Aufgefallen bei Input-Number Feldern 

z.B. HKP - EHB Einrichtung Kap. 1.7"
MDK-10770;EHB - Neue Anlagen werden nicht mehr mit dem Dokumentenserver synchronisiert;14400;0;28800;High;Im Bereich Anlagen unter EHBs ist es nicht mehr möglich das hochgeladenen Anhänge dem Dokumentenserver zur Verfügung gestellt werden. Hier gibt es ein Problem warum es unter diesem Bereich trotz genug Rechten nicht funktioniert.
MDK-10766;[qp-sgb-v/Person/Kap. 8] Frage 8.2i: Vorbelegung nach Wiederherstellung;28800;0;47700;High;"h1. Technisches Konzept 
h2. Anzupassende Komponenten 
||Komponente||Anpassung||Abgrenzung|| 
|mdk-client-workspace| * Fehlermeldung und rotes Dreieck für Feld 8.2.i, wenn Nein gewählt| * Keine Änderung am grundsätzliches Validierungs-/Freigabeverhalten der Bögen: Ausgrauen des Freigabe-Buttons wird nicht geändert. Annahme: Freigabebutton wird ausgegraut| 
|auftragsverwaltung| * Validierung des Feldes 8.2i im Backend: Freigabe nicht möglich, siehe auch Ticket https://mdk-jira.test-server.ag/browse/MDK-3654|-leer- | 
h1. Fachliches Konzept 
h3. (!) Ticket-Split/Merge 

Das Ticket wurde gesplittet in dieses  +MDK-10716+  MDK-10116. Dieses Ticket behandelt nur den im Titel genannten Teil! 
h3. Beschreibung 

Bei Bearbeitung dieses Tickets sollte Ticket MDK-10116 mit bearbeitet werden. 

Siehe 
* Titel 
* Kommentare unten 
* Testausführung TXT-3865 

  

Derzeitiges Verhalten: 
* Bei nein, löschen des Personenbogens (nicht physisch, daher wiederherstellbar) oder auf ja ändern. Bei nein keine weitere Bearbeitung möglich. 
* Wenn Wiederherstellung des Bogens erfolgt, ist ""nein"" bei 8.2i ausgewählt und der Bogen kann weiter bearbeitet werden 

Künftiges Verhalten: 

Nach Rücksprache im RE-Kreis, soll eine Validierung bei Freigabe eingebaut werden, dass kein Bogen mit 8.2.i ""nein"" freigegeben werden kann. Bestehende harte ""Bearbeitungsgrenze"" (Istzustand) soll nach Entscheidung in UAG Datenschutz aufgehoben werden und nur Warnhinweis bei nein, dass nur bei Einverständnis eine Erfassung in Ordnung ist (wird im TFI-629 mit MDK-IT als endgültige Anforderung abgestimmt, dann Ticket dazu erstellen). Damit ist eine generelle Erweiterung der Freigabeprüfung wie oben beschreiben notwendig. 

  

Damit sind folgende Akzeptanzkriterien durch die Behebung dieses Bugs zu erfüllen: 
* Validierung bei Freigabe eines EHB Person auf Frage 8.2i 
** Freigabe ist nur möglich, wenn 8.2i mit ""ja"" beantwortet wurde 
** Bei Beantwortung mit ""nein"" sind Validierungsfehler anzuzeigen 
* Fehlgeschlagene Validierung wird dem Nutzer durch einen Toast mit Fehlertext angezeigt (z.B. ""Es muss das Einverständnis der befragten Person vorliegen. Frage 8.2i muss für eine Freigabe mit ""ja"" beantwortet sein."" o.ä.) und die Freigabe wird nicht durchgeführt. 
* In der linken Navigationsleiste ist bei dem EHB der Fehler durch ""das rote Dreieck"" bei Frage 8.2 anzuzeigen"
MDK-10745;Testausführung wird in Jira nach dem Windows update nicht importiert;;0;36900;High;
MDK-10743;XRAY-85956, XRAY-85957: OkHttp (Graphhopper Abhängigkeit);72000;0;69300;High;"In der eingesetzten Version 2.7.5 (Abhängigkeit aus dem Graphhopper) von okhttp existieren folgende Schwachstellen: 
|OkHttp Cached HTTP / HTTP/2 Headers Non-ASCII Character Handling Remote DoS| 

|OkHttp Non-ASCII ETag Header Handling Remote DoS| 

*Fixed in version:* 
|- nicht angegeben -| 

  

*Aufgabe:* 

Es muss überprüft werden ob ein Update auf die benannte Version möglich ist. Da dies eine externe Abhängigkeit ist, soll die eingesetzte Version des Graphhopper auf die aktuellste Version aktualisiert werden. 

Alternativ muss überprüft werden ob die Lücke in unserem System ausgenutzt werden kann und was die möglichen Konsequenzen auf das System sind. 

  

*Akzeptanzkriterien:* 
* Das Problem ist durch ein Versionsupdate in allen Systemen behoben 
* Alternativ: Eine Bewertung für alle Systeme ist durchgeführt worden, ob die Lücke ausgenutzt werden kann und was die Auswirkungen auf das System seien können. 

*Systeme:* 
|docker://de.mdk.bs.vw/auftrags-verwaltung:0.50.3|"
MDK-10740;Vorgangshistorie wird bei Vorgängen nicht angezeigt;0;0;25200;High;"Beim Abrufen eines Vorgangs wird ein 400 Bad Request vom Backend für die URL 

[https://api-gateway-mdk-qa-intern.adesso-service.com/auf-vw/audit/produkt/0f53d2f1-25db-4c74-842d-2cbf92d82e4e] 

  

geworfen."
MDK-10726;[Produktdesigner] Labels in einfachAuswahl / mehrfachAuswahl werden nicht immer korrekt dargestellt;14400;0;54900;High;"*+IST+* 

Aktuell werden die Labels, die in der DSL an einem ""mehrfachAuswahl""/""einfachAuswahl""Element angegeben werden, auch dann im HTML-Template gerendert, wenn diese DSL-Elemente sich innerhalb eines ""frageBereich"" oder ""pflichteingabe""-Elements befinden. Dies hat zur Folge, dass sowohl die Labels der Fragebereiche, als auch die Labels der Mehrfach/Einfachauswahl gerendert werden _(siehe Screenshot und dazugehörigen DSL-Code im Anhang)_. 

  

  

+SOLL+ 

Das Label an den Eingabekomponenten sollte optional sein, damit es nicht (auch nicht leer) angegeben werden muss, wenn sich das Eingabeelement innerhalb eines frageBereichs befindet. 

Dazu sind die (alle) Produktdefinitionen anzupassen. da ansonsten die Labels sowohl links im frageBereich, als auch auf der rechten Seite beim Element angezeigt werden."
MDK-10717;Übermittlung der TAN - TANs sind nicht in E-Mail-Korrespondenz enthalten;14400;0;23400;High;"*+Soll+* 

Gemäß dem Template soll in der Korrespondenz ""Übermittlung der TAN"" die TANs zu einem Prüfauftrag angegeben werden: 

!image-2020-03-31-14-56-08-625.png! 

  

+*Ist*+ 

Das Template Übermittlung der TANs kann erfolgreich versendet und kommt im Postfach an, aber die TANs werden nicht mitgeschickt 

!image-2020-03-31-14-57-17-341.png! 

Vorgehen: 
* TANs einspielen 
* Prüfauftrag erstellen (SGB XI, Regelprüfung) 
* Verplanen und in den Zustand ""In der Prüfung"" bringen 
* Das Datum des Prüfauftrags über die Datenbank zurücksetzen"
MDK-10716;"[qp-sgb-v & qp-sgb-xi/Person/Kap. 8] Frage 8.2i/k: Bei ""Nein"" zu Produktübersicht navigieren";7200;0;21600;High;"h3. (!) Ticket-Split/Merge 

Das Ticket wurde gesplittet in dieses + Ursprungsticket MDK-10116. Dieses Ticket behandelt nur den im Titel genannten Teil! 
h3. Beschreibung 

Siehe Ticket MDK-10116."
MDK-10703;[QPhkp] Auswahl von mehreren Organisationseinheiten für einen Auftrag führt zu mehrfacher Erzeugung und Versendung von Versandumfängen/Korrespondenzen;14400;0;16200;High;"Soll: 

Korrespondenzen und Versandumfänge sollen pro Prüfauftrag nur einmal erzeugt und verschickt werden. 

Ist:  

Sowohl die Korrespondenzen als auch die Versandumfänge werden mehrfach versendet wenn ich mehr als eine Organisationseinheit bei der Auftragsanlage auswähle. 

  

+*Vorgehen*+ 

Anlage eines Auftrags mit folgenden Daten (Wichtig - mehrere Organisationseinheiten): 

!image-2020-03-30-17-17-24-528.png! 

Die Korrespondenzen und Versandumfänge werden scheinbar pro Organisationseinheit erzeugt: 

!image-2020-03-30-17-17-56-697.png! 

Wenn man einen Prüfauftrag, bei dem man mehrere Organisationseinheiten ausgewählt hat, in den Zustand ""In versand"" bringt, dann werden die nicht alle Versandumfänge in den Zustand ""In Versendung"" überführt: 

!image-2020-03-30-17-19-38-707.png!"
MDK-10701;"[QPhkp] Zuordnung EHB Abrechnung zu Person; Daten bleiben nach Löschung Zuordnung bestehen";14400;0;14400;High;"Nach Löschen der Zuordnung eines EHB Abrechnung zu einem Personenbogen bleibt der Name des Bogens sowie die übernommenen Daten bestehen. 

Getestet: 16:48 auf Systemtest (Freitagsbuild); Vorgangsnummer Screeshot zu entnehmen 

 "
MDK-10696;QP Pflege - EHB Einrichtung, Kapitel 1.3 u. 1.9 fehlerhaft;3600;0;1800;High;"1.3: ""Prüfung durch"" ist disabled 

1.9: Empfehlung, Defizit nicht Teil der E-Logik"
MDK-10690;"[qpa-sgb-xi/Abrechnung/Kap. 16.1.12] Datum mit prefix ""von"" ""bis"" zeigt nicht komplettes Datum";14400;0;11700;High;
MDK-10670;[QPhkp] EHB Einrichtung Kapitel 7.3 und 7.4 fehlende Pflichtfelder Defizitbenennung und Empfehlung + Maßnahme;14400;0;900;High;"EHB Einrichtung, Kapitel 7.3 und 7.4: 

Erwartet: Ist eine der Fragen mit ""nein"" gekreuzt, werden die Felder Defizitbenennung und Empfehlung + Maßnahme zu Pflichtfeldern und müssen mit mindestens einem Zeichen gefüllt werden. 

Ist: Die Felder bleiben optional"
